Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN,CCCM_Severity_2017,Education_Severity_2017,Health_Severity_2017,Nutrition_Severity_2017,Protection_Severity_2017,NFI_Severity_2017,Shelter_Severity_2017,WASH_Severity_2017,FS_Severity_2017,ERL_Severity_2017
Rural Damascus,Rural Damascus,Qudsiya,338600.00,125940.00,125940.00,109712.00,234514.00,75846.40,234514.00,67720.00,33860.00,165270.00,180106.00,174612.00,234514.00,4.00,6.00,0.00,4.00,5.00,3.00,2.00,3.00,5.00,6.00
Lattakia,Al-Qardaha,Al-Qardaha,37310.00,2780.00,2780.00,12154.00,25841.00,9700.60,25841.00,3731.00,7462.00,2780.00,20521.00,19381.00,25841.00,1.00,1.00,0.00,4.00,2.00,2.00,3.00,2.00,4.00,0.00
Rural Damascus,At Tall,At Tall,238650.00,196260.00,196260.00,73004.00,165289.00,53457.60,218713.00,95460.00,143190.00,218713.00,121977.00,105424.00,218713.00,6.00,5.00,1.00,4.00,5.00,4.00,5.00,3.00,5.00,5.00
Deir-ez-Zor,Deir-ez-Zor,Deir-ez-Zor,142680.00,54320.00,54320.00,46983.00,98820.00,29426.66,142680.00,28536.00,28536.00,99616.00,142680.00,89698.00,142680.00,4.00,6.00,4.00,5.00,5.00,3.00,3.00,6.00,5.00,6.00
Rural Damascus,Qatana,Qatana,314740.00,175780.00,175780.00,103972.00,217989.00,70501.76,217989.00,188844.00,125896.00,184900.00,167654.00,154896.00,217989.00,6.00,4.00,1.00,4.00,6.00,5.00,4.00,3.00,5.00,5.00
Tartous,Sheikh Badr,Baramanet Elmashayekh,14380.00,3070.00,3070.00,4742.00,9960.00,3609.38,9960.00,1438.00,2876.00,3070.00,2472.00,5935.00,9960.00,3.00,2.00,0.00,3.00,2.00,2.00,3.00,2.00,2.00,6.00
Rural Damascus,Al Qutayfah,Raheiba,35000.00,6872.00,6872.00,11420.00,24241.00,7840.00,35000.00,7000.00,7000.00,35000.00,21875.00,18181.00,35000.00,2.00,6.00,1.00,4.00,4.00,3.00,3.00,3.00,4.00,0.00
Idleb,Idleb,Idleb,120520.00,49850.00,49850.00,40239.00,83472.00,25783.48,83472.00,24104.00,12052.00,49850.00,62823.00,73722.00,83472.00,5.00,4.00,3.00,3.00,5.00,3.00,2.00,3.00,5.00,6.00
As-Sweida,Shahba,Ariqa,10530.00,2030.00,2030.00,3456.00,7293.00,2263.95,7293.00,2106.00,2106.00,2030.00,3922.00,4179.00,7293.00,2.00,2.00,1.00,3.00,3.00,3.00,3.00,4.00,5.00,6.00
Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,214010.00,112265.00,112265.00,71787.00,148223.00,44086.06,162650.00,128406.00,42802.00,123675.00,162650.00,112507.00,162650.00,6.00,6.00,1.00,4.00,6.00,5.00,3.00,3.00,5.00,5.00
Aleppo,A'zaz,A'zaz,212975.00,166563.00,166563.00,72582.00,147506.00,49623.18,167580.00,127785.00,85190.00,167580.00,87432.00,133878.00,167580.00,6.00,6.00,2.00,4.00,6.00,5.00,4.00,3.00,5.00,4.00
Rural Damascus,Rural Damascus,Babella,175800.00,27820.00,27820.00,60515.00,121759.00,39379.20,121759.00,35160.00,35160.00,70580.00,79753.00,81435.00,121759.00,2.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00
Tartous,Tartous,Tartous,251930.00,90170.00,90170.00,81745.00,174487.00,63234.43,174487.00,50386.00,100772.00,90170.00,104771.00,163954.00,174487.00,4.00,2.00,0.00,3.00,4.00,3.00,4.00,3.00,4.00,6.00
Aleppo,Menbij,Menbij,204048.00,54729.00,54729.00,67340.00,141324.00,47543.18,155465.00,40810.00,20405.00,73454.00,155465.00,105997.00,155465.00,4.00,6.00,5.00,4.00,5.00,3.00,2.00,2.00,5.00,0.00
Dar'a,Dar'a,Dar'a,174400.00,58650.00,58650.00,57853.00,120789.00,35926.40,120789.00,104640.00,69760.00,58650.00,77060.00,95176.00,120789.00,4.00,5.00,2.00,4.00,5.00,5.00,4.00,4.00,5.00,4.00
